model_id_list,dev_alphabetical_id,dev_numerical_id
D25_OnePlus_A3000,D25_V_indoor_panrot_0001,23
D27_Samsung_GalaxyS5,D27_V_flat_move_0003,25
D20_Apple_iPadMini,D20_V_outdoor_panrot_0001,18
D34_Apple_iPhone5,D34_V_indoor_still_0001,32
D08_Samsung_GalaxyTab3,D08_V_flat_panrot_0004,7
D25_OnePlus_A3000,D25_V_flat_still_0002,23
D08_Samsung_GalaxyTab3,D08_V_indoor_move_0004,7
D04_LG_D290,D04_V_flat_move_0003,3
D30_Huawei_Honor5c,D30_V_indoor_panrot_0002,28
D25_OnePlus_A3000,D25_V_indoor_move_0001,23
D26_Samsung_GalaxyS3Mini,D26_V_flat_panrot_0001,24
D23_Asus_Zenfone2Laser,D23_V_flat_move_0002,21
D13_Apple_iPad2,D13_V_indoor_move_0002,11
D14_Apple_iPhone5c,D14_V_flat_panrot_0002,12
D16_Huawei_P9Lite,D16_V_outdoor_move_0001,14
D13_Apple_iPad2,D13_V_outdoor_still_0001,11
D23_Asus_Zenfone2Laser,D23_V_outdoor_panrot_0002,21
D16_Huawei_P9Lite,D16_V_outdoor_panrot_0002,14
D03_Huawei_P9,D03_V_indoor_move_0002,2
D18_Apple_iPhone5c,D18_V_indoor_still_0002,16
D22_Samsung_GalaxyTrendPlus,D22_V_indoor_move_0002,20
D27_Samsung_GalaxyS5,D27_V_outdoor_panrot_0001,25
D29_Apple_iPhone5,D29_V_outdoor_panrot_0001,27
D06_Apple_iPhone6,D06_V_indoor_move_0001,5
D34_Apple_iPhone5,D34_V_outdoor_move_0001,32
D24_Xiaomi_RedmiNote3,D24_V_flat_panrot_0001,22
D32_OnePlus_A3003,D32_V_outdoor_move_0001,30
D08_Samsung_GalaxyTab3,D08_V_outdoor_panrot_0002,7
D05_Apple_iPhone5c,D05_V_indoor_still_0002,4
D08_Samsung_GalaxyTab3,D08_V_outdoor_still_0004,7
D07_Lenovo_P70A,D07_V_outdoor_move_0002,6
D30_Huawei_Honor5c,D30_V_outdoor_panrot_0001,28
D09_Apple_iPhone4,D09_V_indoor_panrot_0001,8
D34_Apple_iPhone5,D34_V_outdoor_panrot_0002,32
D21_Wiko_Ridge4G,D21_V_outdoor_still_0001,19
D10_Apple_iPhone4s,D10_V_outdoor_still_0002,9
D33_Huawei_Ascend,D33_V_outdoor_still_0002,31
D14_Apple_iPhone5c,D14_V_outdoor_panrot_0001,12
D32_OnePlus_A3003,D32_V_flat_still_0001,30
D03_Huawei_P9,D03_V_indoor_still_0001,2
D24_Xiaomi_RedmiNote3,D24_V_indoor_move_0001,22
D04_LG_D290,D04_V_outdoor_panrot_0001,3
D35_Samsung_GalaxyTabA,D35_V_outdoor_panrot_0001,33
D01_Samsung_GalaxyS3Mini,D01_V_flat_move_0001,0
D15_Apple_iPhone6,D15_V_flat_move_0001,13
D20_Apple_iPadMini,D20_V_outdoor_still_0002,18
D21_Wiko_Ridge4G,D21_V_outdoor_panrot_0001,19
D11_Samsung_GalaxyS3,D11_V_flat_move_0002,10
D23_Asus_Zenfone2Laser,D23_V_outdoor_still_0001,21
D34_Apple_iPhone5,D34_V_flat_panrot_0004,32
D33_Huawei_Ascend,D33_V_indoor_move_0001,31
D08_Samsung_GalaxyTab3,D08_V_flat_move_0004,7
D31_Samsung_GalaxyS4Mini,D31_V_indoor_move_0002,29
D15_Apple_iPhone6,D15_V_indoor_panrot_0002,13
D01_Samsung_GalaxyS3Mini,D01_V_indoor_panrot_0001,0
D06_Apple_iPhone6,D06_V_outdoor_panrot_0002,5
D24_Xiaomi_RedmiNote3,D24_V_indoor_move_0002,22
D19_Apple_iPhone6Plus,D19_V_indoor_panrot_0002,17
D11_Samsung_GalaxyS3,D11_V_outdoor_still_0001,10
D29_Apple_iPhone5,D29_V_indoor_panrot_0001,27
D32_OnePlus_A3003,D32_V_indoor_move_0001,30
D35_Samsung_GalaxyTabA,D35_V_indoor_still_0001,33
D35_Samsung_GalaxyTabA,D35_V_flat_move_0002,33
D14_Apple_iPhone5c,D14_V_flat_move_0002,12
D18_Apple_iPhone5c,D18_V_outdoor_still_0001,16
D07_Lenovo_P70A,D07_V_flat_panrot_0002,6
D19_Apple_iPhone6Plus,D19_V_flat_still_0002,17
